AccX,AccY,AccZ,AngX,AngY,AngZ
0.12,-0.02,0.94,-16.61,-26.05,-13.85
0.12,0.03,0.89,-16.29,-24.44,-13.76
0.00,-0.02,0.95,-16.18,-24.76,-14.28
0.09,-0.07,1.09,-16.40,-24.20,-14.38
0.09,-0.02,0.93,-16.04,-23.43,-14.18
0.10,-0.03,0.99,-15.85,-22.72,-13.97
0.05,-0.02,1.00,-15.46,-22.53,-14.23
0.05,-0.03,0.99,-15.19,-22.67,-14.23
0.14,-0.00,0.91,-15.11,-21.78,-13.92
0.06,-0.01,0.94,-15.15,-21.93,-14.33
0.07,-0.01,1.01,-14.79,-20.99,-14.16
0.03,0.01,0.94,-14.96,-21.67,-14.51
0.14,-0.08,1.06,-14.84,-20.19,-14.11
0.08,-0.04,1.00,-14.78,-20.78,-14.43
0.07,-0.06,1.02,-14.33,-19.97,-14.37
0.07,0.00,0.90,-14.52,-19.99,-14.54
0.11,-0.06,1.00,-13.87,-19.84,-14.51
0.09,-0.00,0.94,-13.90,-19.26,-14.38
0.10,-0.04,0.95,-13.30,-18.59,-14.30
0.07,-0.00,0.93,-13.63,-18.89,-14.77
0.09,-0.03,0.95,-13.11,-18.14,-14.70
0.06,-0.07,1.05,-13.18,-18.25,-14.96
0.15,-0.06,0.99,-12.52,-17.93,-14.78
0.14,-0.04,1.02,-12.06,-17.50,-14.79
0.23,-0.02,0.96,-11.59,-16.89,-15.37
0.12,-0.03,0.89,-11.95,-16.09,-17.27
-1.22,-0.04,1.19,-12.04,-14.07,-16.05
-0.44,-0.08,0.95,-8.80,-22.77,-11.59
2.88,-0.13,0.59,-6.98,-22.72,-9.55
0.09,0.02,0.41,-11.11,-14.64,-16.61
-2.35,-0.15,1.85,-7.87,-11.68,-12.94
1.02,-0.00,0.13,-2.06,-23.79,-7.52
2.70,-0.29,0.46,-1.84,-15.34,-13.55
-3.02,-0.25,1.97,-9.75,-11.45,-18.86
-1.34,0.32,0.53,-4.88,-19.87,-12.50
3.35,0.06,0.30,-2.50,-18.41,-9.78
-1.28,-0.04,0.90,-8.00,-7.81,-16.39
-1.82,0.14,1.18,-3.88,-16.21,-14.11
2.65,-0.19,0.61,-0.75,-17.85,-9.15
0.31,0.09,0.29,-4.88,-8.52,-17.86
-2.11,-0.25,1.78,-0.90,-13.85,-15.69
2.32,-0.19,0.50,2.42,-17.89,-8.44
0.73,-0.06,0.32,-1.54,-8.23,-19.48
-2.40,-0.39,2.06,1.81,-12.92,-17.31
2.76,-0.12,0.54,3.82,-16.16,-8.99
0.47,-0.05,0.27,-0.46,-7.65,-16.44
-2.03,-0.41,2.04,1.50,-11.22,-13.32
2.44,0.12,0.33,6.48,-13.74,-5.81
0.76,-0.12,0.44,1.55,-5.16,-15.94
-2.51,-0.33,2.02,0.88,-8.85,-14.57
2.02,-0.11,0.26,3.10,-14.13,-5.56
1.09,-0.08,0.23,-1.64,-7.23,-12.57
-1.49,-0.26,1.48,-6.85,-12.46,-12.62
0.66,0.05,0.28,-7.66,-12.52,-7.23
1.29,-0.09,0.53,-15.44,-9.18,-8.11
-0.30,-0.28,0.82,-22.59,-7.34,-12.88
-0.25,-0.78,1.14,-26.42,-4.31,-10.94
-0.39,-0.60,1.23,-29.61,-9.01,-7.51
0.29,-0.40,0.82,-26.45,-9.19,-4.61
0.35,-0.46,0.97,-24.41,-10.76,-5.07
-0.21,-0.25,0.75,-26.34,-9.83,-5.65
-0.04,-0.31,0.79,-25.49,-6.05,-3.60
-0.06,-0.36,0.76,-24.81,-6.19,-1.45
-0.09,-0.55,0.84,-21.76,-8.00,4.90
0.22,-0.37,0.78,-26.57,-7.96,5.09
-0.07,-0.19,0.62,-23.66,-0.99,5.14
-0.48,-0.48,1.11,-25.59,0.97,3.68
-0.15,-0.35,0.97,-26.49,1.24,3.85
-0.07,-0.42,0.83,-27.10,5.22,5.31
-0.14,-0.73,1.01,-26.77,6.56,7.97
-0.15,-0.48,0.80,-26.33,6.63,9.55
-0.17,-0.41,0.69,-26.00,6.80,10.10
0.25,-0.69,0.84,-20.64,13.47,8.15
-0.68,-0.32,0.94,-16.79,19.65,7.08
-0.56,-0.29,0.71,-20.94,17.94,4.58
-0.16,-0.43,0.69,-25.36,16.92,2.19
-0.22,-0.72,0.82,-32.81,11.67,-0.92
-0.28,-0.87,0.83,-31.71,12.31,3.07
-0.32,-0.72,0.73,-27.35,11.45,5.61
-0.26,-0.42,0.90,-23.24,6.80,7.69
-0.10,-0.50,0.75,-13.35,13.13,9.14
-0.49,0.14,0.85,-11.87,11.09,11.45
-0.21,-0.33,0.91,-8.61,12.13,8.97
-0.17,-0.25,0.90,-9.81,4.70,8.92
-0.04,-0.24,0.81,-11.33,5.56,7.34
-0.13,-0.15,0.89,-10.44,14.42,6.29
-0.36,-0.23,0.96,-12.74,20.74,7.05
-0.49,-0.33,0.75,-13.23,24.31,4.92
-0.54,-0.34,0.91,-14.40,22.05,3.85
-0.35,-0.40,0.79,-16.00,19.73,3.10
-0.31,-0.34,0.78,-16.85,19.11,2.17
-0.30,-0.41,0.79,-17.41,18.47,1.77
-0.35,-0.39,0.84,-17.68,18.30,1.64
-0.34,-0.39,0.81,-17.96,18.34,1.56
-0.33,-0.39,0.81,-18.26,18.36,1.47
-0.33,-0.40,0.82,-18.48,18.35,1.41
-0.33,-0.41,0.82,-18.73,18.39,1.36
-0.33,-0.40,0.82,-19.03,18.47,1.30
-0.33,-0.40,0.81,-19.28,18.54,1.26
-0.33,-0.40,0.82,-19.52,18.52,1.20
-0.33,-0.41,0.82,-19.76,18.48,1.18
-0.33,-0.40,0.81,-19.93,18.49,1.20
-0.33,-0.42,0.82,-20.22,18.41,1.14
-0.33,-0.42,0.82,-20.48,18.31,1.11
-0.32,-0.42,0.82,-20.74,18.27,1.02
-0.32,-0.42,0.82,-21.04,18.19,1.00
-0.32,-0.42,0.81,-21.35,18.47,0.86
-0.32,-0.43,0.81,-21.58,18.50,0.56
-0.31,-0.42,0.81,-21.72,17.99,0.27
-0.30,-0.42,0.80,-21.93,18.36,0.14
-0.32,-0.42,0.83,-22.14,18.19,-0.03
-0.31,-0.44,0.82,-22.37,17.86,-0.10
-0.31,-0.44,0.81,-22.48,17.99,-0.14
-0.30,-0.43,0.82,-22.70,17.84,-0.15
-0.30,-0.42,0.82,-22.81,17.89,-0.17
-0.31,-0.44,0.82,-22.94,17.84,-0.18
-0.30,-0.43,0.82,-23.08,17.76,-0.20
-0.29,-0.43,0.82,-23.30,17.61,-0.18
-0.30,-0.42,0.81,-23.43,17.69,-0.19
-0.29,-0.44,0.81,-23.57,17.68,-0.20
-0.30,-0.43,0.82,-23.72,17.67,-0.21
-0.30,-0.42,0.82,-23.86,17.66,-0.25
-0.29,-0.43,0.80,-24.03,17.66,-0.22
-0.30,-0.43,0.81,-24.13,17.65,-0.21
-0.30,-0.43,0.81,-24.24,17.67,-0.22
-0.30,-0.44,0.82,-24.42,17.64,-0.24
-0.30,-0.43,0.81,-24.62,17.59,-0.25
-0.30,-0.43,0.82,-24.71,17.66,-0.28
-0.29,-0.43,0.82,-24.84,17.64,-0.27
-0.29,-0.43,0.81,-24.98,17.60,-0.27
-0.30,-0.45,0.81,-25.08,17.63,-0.32
-0.30,-0.44,0.82,-25.19,17.61,-0.31
-0.30,-0.44,0.82,-25.30,17.58,-0.30
-0.29,-0.44,0.80,-25.41,17.61,-0.32
-0.29,-0.43,0.82,-25.54,17.52,-0.31
-0.29,-0.44,0.80,-25.62,17.58,-0.32
-0.30,-0.44,0.82,-25.73,17.55,-0.31
-0.29,-0.44,0.81,-25.84,17.58,-0.31
-0.29,-0.43,0.82,-25.97,17.57,-0.32
-0.29,-0.44,0.82,-26.07,17.57,-0.32
-0.29,-0.44,0.82,-26.17,17.61,-0.32
-0.29,-0.43,0.80,-26.27,17.64,-0.33
-0.29,-0.44,0.81,-26.37,17.65,-0.35
-0.29,-0.43,0.82,-26.46,17.64,-0.35
-0.29,-0.43,0.83,-26.56,17.61,-0.35
-0.29,-0.44,0.82,-26.63,17.60,-0.34
-0.29,-0.44,0.82,-26.71,17.62,-0.35
-0.29,-0.43,0.82,-26.78,17.63,-0.33
-0.29,-0.43,0.82,-26.87,17.62,-0.32
-0.29,-0.44,0.82,-26.95,17.62,-0.31
-0.28,-0.44,0.83,-27.01,17.64,-0.30
-0.28,-0.44,0.81,-27.13,17.60,-0.32
-0.29,-0.44,0.82,-27.19,17.62,-0.30
-0.28,-0.44,0.82,-27.25,17.61,-0.30
-0.28,-0.44,0.82,-27.31,17.59,-0.28
-0.29,-0.44,0.81,-27.41,17.59,-0.30
-0.29,-0.44,0.82,-27.45,17.62,-0.32
-0.29,-0.44,0.82,-27.53,17.59,-0.32
-0.29,-0.45,0.80,-27.63,17.57,-0.32
-0.28,-0.44,0.82,-27.70,17.57,-0.32
-0.29,-0.44,0.82,-27.79,17.56,-0.39
-0.28,-0.44,0.82,-27.88,17.48,-0.39
-0.28,-0.44,0.82,-27.93,17.45,-0.42
-0.29,-0.44,0.81,-27.98,17.47,-0.44
-0.28,-0.44,0.82,-28.06,17.41,-0.48
-0.27,-0.44,0.81,-28.16,17.30,-0.52
-0.27,-0.44,0.82,-28.20,17.23,-0.55
-0.28,-0.44,0.82,-28.28,17.22,-0.57
-0.28,-0.45,0.81,-28.30,17.19,-0.62
-0.28,-0.45,0.82,-28.33,17.22,-0.62
-0.28,-0.44,0.82,-28.38,17.17,-0.61
-0.28,-0.44,0.81,-28.42,17.19,-0.63
-0.28,-0.45,0.81,-28.50,17.13,-0.66
-0.27,-0.44,0.83,-28.56,17.06,-0.65
-0.28,-0.45,0.81,-28.59,17.09,-0.66
-0.27,-0.45,0.82,-28.63,17.12,-0.66
-0.28,-0.45,0.82,-28.68,17.06,-0.66
-0.27,-0.45,0.81,-28.72,17.05,-0.67
-0.27,-0.44,0.82,-28.75,17.07,-0.67
-0.27,-0.44,0.83,-28.78,17.02,-0.71
-0.27,-0.44,0.81,-28.84,17.01,-0.71
-0.27,-0.44,0.82,-28.89,16.99,-0.71
-0.28,-0.45,0.82,-28.95,17.00,-0.70
-0.28,-0.45,0.82,-29.01,17.01,-0.70
-0.27,-0.45,0.82,-29.05,17.02,-0.68
-0.27,-0.44,0.82,-29.09,17.00,-0.67
-0.27,-0.45,0.82,-29.15,17.01,-0.66
-0.27,-0.45,0.82,-29.17,17.03,-0.65
-0.27,-0.44,0.82,-29.21,17.03,-0.65
-0.28,-0.45,0.83,-29.23,17.06,-0.64
-0.27,-0.44,0.82,-29.30,17.05,-0.64
-0.27,-0.45,0.82,-29.32,17.05,-0.63
-0.27,-0.44,0.82,-29.36,17.06,-0.64
-0.27,-0.45,0.81,-29.41,17.07,-0.62
-0.27,-0.45,0.82,-29.42,17.03,-0.63
-0.27,-0.44,0.83,-29.45,17.05,-0.63
-0.27,-0.45,0.81,-29.47,17.05,-0.62
-0.27,-0.46,0.80,-29.53,16.97,-0.61
-0.27,-0.45,0.83,-29.55,16.99,-0.64
-0.27,-0.45,0.81,-29.61,16.95,-0.67
-0.27,-0.44,0.82,-29.62,16.93,-0.67
-0.27,-0.45,0.82,-29.67,16.93,-0.69
-0.28,-0.47,0.82,-29.49,16.86,-0.98
-0.27,-0.44,0.83,-29.20,16.63,-1.18
-0.25,-0.46,0.81,-29.27,16.61,-1.18
-0.27,-0.44,0.83,-29.30,16.53,-1.18
-0.26,-0.45,0.83,-29.30,16.63,-1.19
-0.26,-0.44,0.83,-29.34,16.59,-1.20
-0.26,-0.44,0.82,-29.35,16.60,-1.19
-0.26,-0.45,0.82,-29.38,16.58,-1.18
-0.27,-0.44,0.82,-29.43,16.54,-1.20
-0.26,-0.45,0.84,-29.43,16.56,-1.18
-0.26,-0.44,0.83,-29.46,16.52,-1.18
-0.26,-0.44,0.82,-29.51,16.54,-1.16
-0.25,-0.45,0.83,-29.53,16.51,-1.15
-0.25,-0.44,0.82,-29.57,16.47,-1.14
-0.27,-0.44,0.83,-29.60,16.39,-1.14
-0.26,-0.44,0.82,-29.62,16.38,-1.14
-0.25,-0.44,0.82,-29.63,16.37,-1.14
-0.26,-0.44,0.82,-29.67,16.35,-1.13
-0.26,-0.44,0.83,-29.70,16.32,-1.13
-0.26,-0.44,0.82,-29.73,16.33,-1.14
-0.26,-0.45,0.82,-29.76,16.35,-1.14
-0.25,-0.44,0.83,-29.76,16.31,-1.14
-0.26,-0.44,0.83,-29.77,16.33,-1.13
-0.25,-0.44,0.82,-29.79,16.34,-1.12
-0.26,-0.45,0.82,-29.82,16.33,-1.12
-0.26,-0.44,0.83,-29.85,16.32,-1.11
-0.26,-0.44,0.82,-29.88,16.30,-1.11
-0.26,-0.45,0.83,-29.91,16.33,-1.10
-0.25,-0.44,0.83,-29.92,16.33,-1.10
-0.26,-0.44,0.83,-29.94,16.34,-1.09
-0.26,-0.44,0.84,-29.95,16.32,-1.06
-0.25,-0.45,0.83,-29.98,16.28,-1.05
-0.25,-0.45,0.83,-29.99,16.28,-1.05
-0.26,-0.45,0.82,-30.00,16.27,-1.03
-0.25,-0.45,0.83,-30.02,16.26,-1.02
-0.26,-0.44,0.83,-30.04,16.24,-1.03
-0.25,-0.45,0.82,-30.07,16.24,-1.02
-0.25,-0.45,0.82,-30.09,16.22,-1.01
-0.26,-0.44,0.83,-30.09,16.21,-1.00
-0.26,-0.46,0.82,-30.11,16.23,-1.01
-0.26,-0.44,0.83,-30.13,16.24,-1.01
-0.26,-0.44,0.83,-30.13,16.24,-1.00
