AccX,AccY,AccZ,AngX,AngY,AngZ
-0.06,0.21,0.95,11.25,-29.04,-10.48
0.26,0.27,0.59,12.18,-48.19,-13.61
0.76,0.22,0.52,14.46,-65.90,-15.01
0.20,0.54,-0.01,18.84,-88.60,-17.30
0.84,0.29,-0.31,23.15,-106.96,-17.53
0.52,0.22,-0.57,30.38,-127.06,-19.16
0.10,0.21,-0.77,36.84,-146.37,-17.14
-0.02,0.19,-1.18,43.91,-155.92,-17.65
0.47,-0.15,-1.43,43.75,-167.42,-15.68
-0.32,0.12,-1.17,48.02,-173.90,-17.47
0.18,-0.20,-1.33,47.01,-173.53,-18.28
-0.52,0.18,-1.39,48.03,-167.76,-17.84
0.06,0.01,-1.15,51.82,-162.13,-20.03
-0.30,0.06,-0.66,53.49,-157.14,-17.66
-0.35,0.10,-1.86,56.10,-154.52,-19.97
0.08,-0.07,-0.50,50.62,-143.70,-16.98
-0.15,0.18,-1.62,49.10,-135.68,-17.95
0.36,0.07,-1.59,49.35,-126.34,-19.16
-0.15,-0.07,-1.37,37.43,-92.31,-25.63
0.21,-0.02,-0.26,29.38,-52.46,-29.07
-0.02,0.40,-0.32,28.32,-27.89,-33.09
0.29,0.28,-0.03,27.67,-9.44,-34.19
-0.29,0.31,0.12,21.06,6.95,-32.85
0.31,-0.13,0.59,9.55,21.64,-30.32
0.20,0.03,0.98,2.46,27.45,-29.51
0.11,-0.17,1.81,-4.17,37.46,-26.34
0.20,-0.08,1.16,-5.21,34.18,-24.92
0.43,-0.22,1.80,-6.64,35.07,-24.26
0.30,-0.12,0.85,-5.51,32.55,-23.90
0.12,-0.08,1.09,-6.32,33.00,-23.90
0.14,-0.09,0.66,-4.76,32.18,-23.67
0.21,-0.11,1.00,-6.23,32.09,-24.20
0.11,-0.14,1.09,-5.15,32.70,-23.76
0.14,-0.08,0.90,-6.60,32.29,-24.24
0.03,-0.12,1.13,-4.92,33.74,-23.85
0.10,-0.06,0.93,-5.70,35.16,-24.50
-0.07,-0.07,1.17,-4.84,36.65,-23.52
0.04,-0.08,0.93,-6.02,36.59,-24.15
0.09,-0.12,0.97,-5.25,36.37,-23.25
-0.05,-0.05,0.88,-6.15,36.86,-23.70
0.07,-0.12,0.97,-5.83,34.89,-23.90
-0.03,-0.06,1.00,-6.04,34.73,-23.81
0.00,-0.12,1.08,-5.74,32.79,-23.96
0.01,-0.08,0.97,-6.22,33.93,-23.76
-0.05,-0.06,0.88,-7.10,32.88,-24.33
-0.02,-0.11,1.06,-6.35,32.71,-24.41
-0.04,-0.06,0.98,-7.34,33.24,-24.33
-0.07,-0.07,0.89,-5.83,30.34,-24.61
0.07,-0.13,1.22,-7.42,31.45,-24.85
0.00,-0.10,0.79,-5.89,29.71,-23.84
-0.13,-0.02,1.01,-6.85,29.58,-24.42
0.07,-0.15,1.07,-5.06,25.56,-24.66
0.04,-0.08,1.02,-6.36,28.08,-24.22
-0.08,-0.09,0.89,-5.65,25.48,-24.50
0.01,-0.09,1.08,-6.48,26.31,-24.77
0.05,-0.11,0.78,-6.30,24.70,-24.55
-0.03,-0.07,1.05,-6.32,25.56,-24.64
0.06,-0.11,0.81,-6.68,23.15,-25.05
0.01,-0.12,1.21,-6.33,23.83,-24.66
0.03,-0.10,0.85,-6.86,22.81,-24.71
0.03,-0.16,1.16,-6.25,22.76,-24.60
0.06,-0.17,1.07,-6.82,23.55,-24.44
0.01,-0.10,0.91,-6.28,22.10,-24.59
-0.01,-0.24,1.78,-4.39,17.23,-25.40
0.35,-0.25,1.28,0.04,-0.61,-28.44
0.48,-0.02,0.76,5.04,-14.56,-32.81
-0.14,0.20,0.89,8.79,-45.81,-42.66
0.49,0.26,0.62,9.95,-74.29,-49.64
0.20,0.47,-0.09,13.15,-97.27,-55.39
0.23,0.28,0.02,19.58,-110.68,-60.68
-0.06,0.29,-0.16,28.48,-121.72,-62.93
0.09,0.15,-0.56,37.17,-130.86,-63.25
-0.19,0.27,-1.44,45.17,-134.86,-62.22
0.16,-0.04,-1.11,47.22,-140.14,-64.11
-0.04,0.08,-1.68,52.25,-137.48,-63.13
-0.27,0.17,-1.61,56.71,-138.16,-65.15
0.21,-0.06,-0.84,52.65,-133.03,-63.37
-0.42,0.34,-1.90,54.75,-130.35,-63.91
0.58,-0.25,-0.51,51.17,-125.94,-64.03
-0.22,0.15,-1.73,50.38,-119.66,-63.32
0.35,-0.11,-1.22,42.88,-107.29,-65.57
-0.09,0.01,-2.48,36.69,-80.29,-69.08
0.03,0.06,0.88,31.41,-39.45,-73.80
-0.10,0.49,-1.30,30.22,-13.49,-83.37
-0.24,0.48,0.78,27.40,13.66,-83.92
-0.22,0.50,-0.27,20.57,33.41,-80.80
0.28,0.11,1.25,15.36,38.89,-79.62
0.13,0.14,0.77,7.19,46.09,-77.72
0.14,0.12,1.28,3.73,47.44,-76.87
0.11,0.11,1.37,0.76,46.38,-76.44
-0.01,0.15,1.46,-0.27,47.83,-76.25
0.17,0.08,1.04,-1.04,45.80,-76.90
0.13,0.04,1.08,-0.97,45.95,-76.58
0.09,0.05,0.77,-0.89,44.27,-76.90
0.09,0.07,0.92,-0.37,42.98,-76.56
0.06,0.09,1.08,-0.68,42.75,-76.91
0.04,0.09,0.94,-1.17,43.62,-76.23
0.09,0.06,1.03,-1.14,42.45,-76.18
0.03,0.06,0.91,-1.26,41.41,-76.27
0.08,0.06,1.01,-2.22,41.26,-76.59
0.07,0.05,0.81,-1.15,39.75,-75.98
0.11,0.03,1.06,-2.19,40.14,-76.33
0.01,0.05,0.87,-1.33,36.76,-76.13
0.13,0.01,1.16,-2.94,37.96,-75.96
0.03,0.04,0.93,-1.89,35.90,-75.97
0.12,0.01,0.96,-3.62,36.60,-75.98
0.11,-0.03,0.94,-2.82,34.74,-75.80
0.07,0.01,0.90,-4.06,35.12,-75.94
0.05,-0.01,1.07,-3.67,34.41,-75.87
0.11,0.00,0.88,-4.71,34.87,-75.86
0.03,-0.01,1.01,-4.29,34.41,-76.16
0.14,-0.02,0.73,-5.41,33.85,-76.12
0.02,-0.10,1.43,-4.95,34.01,-75.98
0.07,-0.01,0.94,-5.50,32.19,-76.49
0.15,-0.15,1.65,-4.15,28.67,-76.52
0.33,-0.10,1.36,-0.78,19.23,-77.52
0.23,-0.09,0.99,4.78,-2.97,-83.49
0.56,0.13,1.06,8.06,-17.75,-87.52
0.29,0.46,-0.08,11.98,-40.37,-92.30
-0.21,0.51,-0.19,16.31,-69.31,-96.80
0.08,0.38,-0.13,20.36,-91.48,-97.68
0.30,0.19,-1.19,27.64,-113.07,-97.79
-0.09,0.21,-1.02,35.08,-126.90,-98.21
0.29,0.05,-1.52,43.40,-130.44,-97.01
0.00,0.16,-1.52,49.97,-135.02,-97.72
0.37,-0.18,-0.98,50.84,-134.07,-97.35
-0.29,0.27,-1.87,52.94,-132.70,-97.18
0.25,-0.06,-1.29,50.07,-131.69,-98.61
-0.30,0.18,-1.29,49.82,-128.87,-97.87
0.06,0.01,-1.77,49.38,-122.45,-97.42
-0.19,0.08,-1.48,45.09,-111.75,-96.49
0.29,-0.06,-1.53,33.44,-89.64,-97.86
0.04,0.06,-0.73,30.41,-54.27,-101.24
-0.06,0.29,-0.27,28.52,-19.43,-105.69
0.18,0.35,0.16,26.02,3.97,-107.97
-0.03,0.45,0.43,24.63,20.20,-107.40
0.07,0.33,0.61,19.13,32.42,-103.31
-0.13,0.39,0.13,16.34,37.39,-99.85
0.22,-0.18,1.20,6.04,51.20,-97.09
0.03,0.04,1.17,1.06,55.36,-94.82
0.15,-0.23,1.86,-4.14,55.79,-97.09
0.11,-0.07,1.16,-4.36,51.21,-95.57
0.07,-0.06,1.30,-4.89,50.12,-95.44
0.16,-0.11,1.16,-3.53,47.64,-95.12
-0.05,0.06,0.76,-3.97,47.79,-95.60
0.20,-0.12,0.79,-3.42,43.46,-96.01
0.05,-0.05,0.85,-4.14,46.42,-95.02
0.04,-0.07,0.79,-4.84,42.03,-96.23
0.14,-0.10,1.01,-5.82,42.92,-95.87
0.07,-0.05,1.05,-5.88,39.68,-96.10
0.09,-0.05,0.95,-6.32,40.79,-95.56
0.13,-0.09,0.91,-6.22,37.79,-95.66
0.05,-0.08,1.03,-6.26,38.79,-95.54
0.12,-0.08,0.92,-6.60,35.59,-96.23
0.08,-0.07,0.94,-6.29,35.80,-95.84
0.20,-0.08,0.86,-6.71,33.68,-96.20
0.06,-0.05,0.99,-5.94,34.62,-95.64
0.09,-0.06,0.88,-6.84,33.35,-96.50
0.14,-0.06,0.92,-6.66,32.74,-96.56
0.08,-0.07,0.88,-7.49,33.09,-96.35
0.15,-0.15,1.10,-6.76,31.67,-96.44
0.07,-0.05,0.90,-7.44,33.48,-95.68
0.02,-0.10,1.14,-6.87,32.36,-95.97
0.13,-0.10,1.04,-7.99,32.56,-96.08
0.26,-0.27,1.72,-6.98,31.17,-96.26
0.13,-0.23,1.27,-1.62,10.10,-100.36
0.43,-0.19,1.65,6.04,2.07,-104.60
0.17,0.21,0.42,10.54,-27.87,-113.17
0.35,0.11,0.37,12.14,-56.56,-120.96
-0.05,0.66,-0.15,13.94,-83.46,-126.20
-0.05,0.65,-0.16,18.81,-99.47,-127.76
0.34,0.21,0.30,25.44,-109.85,-129.79
0.18,0.38,-1.32,33.26,-115.73,-127.34
0.06,0.25,-0.92,43.53,-122.45,-128.78
0.07,0.14,-0.90,51.90,-121.43,-125.75
-0.16,0.18,-2.23,60.34,-126.22,-127.02
0.36,-0.16,-0.95,60.09,-122.85,-125.87
-0.25,0.19,-1.34,63.26,-118.44,-126.13
0.50,-0.23,-1.40,60.59,-116.91,-127.35
-0.12,0.00,-1.20,61.14,-113.17,-126.95
0.40,-0.18,-1.37,53.80,-107.48,-127.71
0.31,-0.05,-1.70,42.93,-95.11,-129.41
0.05,0.11,-1.59,39.15,-73.83,-133.53
0.23,-0.26,0.46,29.54,-36.01,-137.10
-0.11,0.57,-1.40,28.53,-12.92,-144.02
0.03,0.33,0.69,26.00,18.05,-143.59
-0.29,0.54,-0.30,25.78,41.57,-141.76
0.05,0.25,0.31,18.23,51.94,-137.97
0.18,0.07,0.64,13.31,55.00,-134.81
-0.02,0.07,1.43,5.08,55.30,-133.03
0.27,-0.17,1.75,3.10,48.70,-132.30
0.33,-0.12,1.52,-0.47,54.28,-128.49
0.16,0.01,0.82,-0.65,48.46,-129.06
0.28,0.02,0.88,-1.45,43.04,-129.35
0.30,-0.02,0.88,-2.12,40.45,-128.21
0.37,-0.21,0.81,-5.88,42.59,-126.00
0.37,-0.26,1.03,-6.71,40.63,-126.03
0.19,-0.14,0.56,-8.83,39.87,-123.26
0.40,-0.35,1.59,-9.64,41.08,-122.27
0.32,-0.04,0.24,-11.40,37.39,-122.26
0.39,-0.25,1.24,-12.30,35.92,-122.05
0.49,-0.61,1.77,-14.09,38.66,-120.30
0.33,-0.29,0.83,-12.29,33.39,-122.09
0.16,-0.22,0.30,-15.10,32.91,-120.51
0.28,-0.23,0.67,-14.37,36.10,-118.60
0.13,-0.36,0.65,-19.41,51.10,-114.04
0.15,-0.63,0.70,-23.90,65.01,-112.68
-0.12,-0.29,0.36,-22.61,59.76,-112.90
-0.09,-0.40,1.00,-22.01,55.04,-109.88
-0.26,-0.50,1.38,-23.07,60.16,-109.09
0.17,-0.36,0.62,-25.32,61.26,-105.27
-0.35,-0.26,0.98,-27.72,59.48,-103.75
-0.08,-0.41,0.94,-30.97,57.31,-102.71
-0.19,-0.57,0.66,-33.07,58.14,-101.51
-0.13,-0.58,0.93,-33.52,55.79,-102.08
-0.18,-0.49,0.81,-33.67,55.27,-101.82
-0.14,-0.50,0.84,-33.75,54.20,-101.80
-0.14,-0.49,0.82,-33.79,53.29,-101.72
-0.14,-0.51,0.82,-33.85,52.59,-101.62
-0.13,-0.50,0.82,-33.88,51.64,-101.65
-0.14,-0.50,0.82,-33.97,50.81,-101.61
-0.13,-0.50,0.81,-34.04,50.01,-101.54
-0.14,-0.51,0.83,-34.07,49.18,-101.52
-0.14,-0.50,0.82,-34.14,48.40,-101.50
-0.14,-0.50,0.81,-34.20,47.62,-101.45
-0.14,-0.51,0.82,-34.24,46.84,-101.44
-0.14,-0.51,0.82,-34.29,46.08,-101.43
-0.13,-0.51,0.81,-34.33,45.35,-101.43
-0.14,-0.50,0.82,-34.36,44.63,-101.41
-0.14,-0.50,0.81,-34.41,43.93,-101.39
-0.14,-0.51,0.81,-34.44,43.24,-101.37
-0.14,-0.51,0.82,-34.47,42.54,-101.36
-0.14,-0.51,0.81,-34.50,41.89,-101.35
-0.14,-0.51,0.82,-34.54,41.21,-101.36
-0.14,-0.51,0.82,-34.56,40.57,-101.35
-0.14,-0.52,0.83,-34.59,39.94,-101.34
-0.14,-0.51,0.82,-34.62,39.33,-101.34
-0.14,-0.51,0.82,-34.64,38.71,-101.33
-0.14,-0.51,0.82,-34.66,38.09,-101.32
-0.13,-0.51,0.82,-34.67,37.51,-101.30
-0.14,-0.51,0.82,-34.69,36.95,-101.29
-0.13,-0.51,0.81,-34.77,36.32,-101.28
-0.14,-0.51,0.82,-34.81,35.73,-101.26
-0.13,-0.52,0.82,-34.85,35.15,-101.26
-0.13,-0.52,0.81,-34.88,34.62,-101.25
-0.14,-0.52,0.82,-34.90,34.11,-101.25
-0.13,-0.51,0.82,-34.90,33.60,-101.24
-0.14,-0.51,0.81,-34.93,33.11,-101.21
-0.14,-0.51,0.81,-34.94,32.64,-101.20
-0.14,-0.51,0.82,-34.97,32.11,-101.18
-0.13,-0.52,0.81,-35.00,31.57,-101.17
-0.14,-0.51,0.82,-35.02,31.13,-101.18
-0.13,-0.51,0.82,-35.02,30.68,-101.16
-0.13,-0.51,0.81,-35.04,30.24,-101.15
-0.13,-0.51,0.82,-35.04,29.80,-101.14
-0.12,-0.52,0.81,-35.06,29.35,-101.10
-0.14,-0.52,0.81,-35.13,28.93,-101.16
-0.13,-0.51,0.82,-35.14,28.47,-101.16
-0.13,-0.52,0.81,-35.15,28.07,-101.16
-0.13,-0.51,0.81,-35.16,27.68,-101.15
-0.13,-0.52,0.81,-35.18,27.31,-101.15
-0.14,-0.51,0.82,-35.17,26.94,-101.14
-0.13,-0.51,0.81,-35.19,26.57,-101.13
-0.13,-0.52,0.81,-35.20,26.21,-101.12
-0.13,-0.52,0.82,-35.22,25.85,-101.12
-0.14,-0.53,0.81,-35.29,25.47,-101.15
-0.13,-0.52,0.81,-35.31,25.10,-101.13
-0.13,-0.52,0.81,-35.32,24.78,-101.12
-0.14,-0.52,0.82,-35.32,24.47,-101.11
-0.13,-0.52,0.81,-35.33,24.15,-101.11
-0.13,-0.52,0.82,-35.34,23.84,-101.10
-0.13,-0.52,0.82,-35.36,23.53,-101.10
-0.13,-0.52,0.81,-35.37,23.24,-101.09
-0.13,-0.52,0.81,-35.38,22.95,-101.08
-0.13,-0.52,0.81,-35.40,22.68,-101.07
-0.12,-0.52,0.82,-35.40,22.39,-101.06
-0.13,-0.52,0.81,-35.41,22.12,-101.07
-0.13,-0.53,0.81,-35.44,21.85,-101.06
-0.13,-0.52,0.82,-35.45,21.57,-101.07
-0.13,-0.52,0.82,-35.45,21.31,-101.06
-0.13,-0.52,0.81,-35.46,21.06,-101.04
-0.13,-0.52,0.82,-35.47,20.80,-101.03
-0.13,-0.52,0.82,-35.48,20.56,-101.03
-0.13,-0.52,0.82,-35.49,20.33,-101.03
-0.13,-0.52,0.81,-35.51,20.08,-101.03
-0.13,-0.51,0.81,-35.51,19.85,-101.03
-0.13,-0.52,0.81,-35.51,19.64,-101.02
-0.13,-0.52,0.81,-35.52,19.43,-101.01
-0.13,-0.52,0.82,-35.53,19.20,-101.00
-0.13,-0.52,0.81,-35.54,18.99,-101.00
-0.13,-0.52,0.81,-35.54,18.79,-100.99
-0.13,-0.52,0.82,-35.54,18.59,-100.98
-0.13,-0.51,0.81,-35.54,18.41,-100.98
-0.12,-0.52,0.81,-35.56,18.21,-100.97
-0.13,-0.51,0.82,-35.57,18.02,-100.96
-0.13,-0.52,0.82,-35.56,17.84,-100.96
-0.12,-0.52,0.82,-35.57,17.66,-100.96
-0.13,-0.52,0.82,-35.57,17.47,-100.96
-0.13,-0.52,0.81,-35.59,17.28,-100.95
-0.13,-0.52,0.82,-35.58,17.13,-100.94
-0.13,-0.52,0.81,-35.59,16.96,-100.92
-0.13,-0.52,0.82,-35.59,16.80,-100.90
-0.13,-0.52,0.82,-35.59,16.64,-100.89
-0.13,-0.52,0.82,-35.59,16.49,-100.89
-0.13,-0.52,0.81,-35.61,16.33,-100.86
-0.13,-0.52,0.82,-35.61,16.18,-100.85
-0.13,-0.52,0.81,-35.63,16.06,-100.84
-0.13,-0.52,0.81,-35.63,15.90,-100.84
-0.14,-0.52,0.82,-35.64,15.76,-100.85
